"TIMESTAMP","RECORD","DopplerMessage","DoppMonth","DoppDay","DoppYear","Dopphour","Doppminute","Doppsecond","DoppVolts","DoppSoundSpeed","DoppHeading","DoppPitch","DoppRoll","DoppPress","DoppTemp","DoppCell(1)","DoppCell(2)","DoppCell(3)","DoppCell(4)","DoppCell(5)","DoppCell(6)","DoppCell(7)","DoppCell(8)","DoppCell(9)","DoppCell(10)","DoppCell(11)","DoppCell(12)","DoppCell(13)","DoppCell(14)","DoppCell(15)","DoppCell(16)","DoppCell(17)","DoppCell(18)","DoppCell(19)","DoppCell(20)","DoppCell(21)","DoppCell(22)","DoppCell(23)","DoppCell(24)","DoppCell(25)","DoppCell(26)","DoppCell(27)","DoppCell(28)","DoppCell(29)","DoppCell(30)","DoppCell(31)","DoppCell(32)","DoppCell(33)","DoppCell(34)","DoppCell(35)","DoppCell(36)","DoppCell(37)","DoppCell(38)","DoppCell(39)","DoppCell(40)"
"TS","RN","","","","","","","","Volts","m/s","Deg","Deg","Deg","dbar","Celsius","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-18 22:00:00",6,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-18 23:00:00",7,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-19 00:00:00",8,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-19 01:00:00",9,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-19 02:00:00",10,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-19 03:00:00",11,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-19 04:00:00",12,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-19 05:00:00",13,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-19 06:00:00",14,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-19 07:00:00",15,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
